url,listing_id,price_eur,area_m2,rooms,floor,max_floor,is_ground_floor,is_top_floor,heat,construction_type,newbuild,district
https://www.imot.bg/obiava-1a176216396609772-prodava-ednostaen-apartament-grad-sofiya-vitosha,ida1a176216396609772,122518.0,43.0,1,6.0,6.0,0,1,gas,brick,1.0,Витоша
https://www.imot.bg/obiava-1a176295119751360-prodava-ednostaen-apartament-grad-sofiya-vitosha,ida1a176295119751360,139999.0,38.0,1,4.0,6.0,0,0,gas,brick,0.0,Витоша
https://www.imot.bg/obiava-1a176275649444746-prodava-ednostaen-apartament-grad-sofiya-vrabnitsa-2,ida1a176275649444746,119900.0,42.0,1,1.0,8.0,0,0,other,panel,0.0,Връбница 2
https://www.imot.bg/obiava-1a176156508680475-prodava-ednostaen-apartament-grad-sofiya-gorna-banya,ida1a176156508680475,59900.0,45.0,1,,,0,0,gas,brick,1.0,Горна баня
https://www.imot.bg/obiava-1a175571421540873-prodava-ednostaen-apartament-grad-sofiya-dragalevtsi,ida1a175571421540873,145000.0,67.0,1,2.0,3.0,0,0,gas,brick,1.0,Драгалевци
https://www.imot.bg/obiava-1a176103304480169-prodava-ednostaen-apartament-grad-sofiya-dragalevtsi,ida1a176103304480169,165000.0,66.0,1,3.0,3.0,0,1,gas,brick,1.0,Драгалевци
https://www.imot.bg/obiava-1a176367061406847-prodava-ednostaen-apartament-grad-sofiya-dragalevtsi,ida1a176367061406847,168000.0,50.0,1,1.0,4.0,0,0,gas,brick,1.0,Драгалевци
https://www.imot.bg/obiava-1a176397220100822-prodava-ednostaen-apartament-grad-sofiya-druzhba-1-ul-kap-dim-spisarevski,ida1a176397220100822,130000.0,48.0,1,6.0,8.0,0,0,other,panel,0.0,Дружба 1
https://www.imot.bg/obiava-1a174389257721215-prodava-ednostaen-apartament-grad-sofiya-druzhba-1,ida1a174389257721215,135980.0,51.0,1,4.0,6.0,0,0,other,brick,1.0,Дружба 1
https://www.imot.bg/obiava-1a176374193926041-prodava-ednostaen-apartament-grad-sofiya-druzhba-2,ida1a176374193926041,108830.0,51.0,1,3.0,5.0,0,0,gas,brick,1.0,Дружба 2
https://www.imot.bg/obiava-1a176235954677632-prodava-ednostaen-apartament-grad-sofiya-druzhba-2,ida1a176235954677632,115000.0,45.0,1,4.0,8.0,0,0,other,panel,0.0,Дружба 2
https://www.imot.bg/obiava-1a176303743546362-prodava-ednostaen-apartament-grad-sofiya-druzhba-2,ida1a176303743546362,115839.0,54.0,1,4.0,5.0,0,0,gas,brick,1.0,Дружба 2
https://www.imot.bg/obiava-1a175378297821077-prodava-ednostaen-apartament-grad-sofiya-druzhba-2,ida1a175378297821077,120000.0,44.0,1,11.0,11.0,0,1,other,brick,1.0,Дружба 2
https://www.imot.bg/obiava-1a175973050684388-prodava-ednostaen-apartament-grad-sofiya-druzhba-2,ida1a175973050684388,125900.0,45.0,1,8.0,9.0,0,0,other,panel,0.0,Дружба 2
https://www.imot.bg/obiava-1a176166641267995-prodava-ednostaen-apartament-grad-sofiya-druzhba-2,ida1a176166641267995,130900.0,50.0,1,4.0,8.0,0,0,other,panel,0.0,Дружба 2
https://www.imot.bg/obiava-1a176276993196443-prodava-ednostaen-apartament-grad-sofiya-eksperimentalen,ida1a176276993196443,97667.0,56.0,1,2.0,5.0,0,0,gas,brick,1.0,Експериментален
https://www.imot.bg/obiava-1a175679670588228-prodava-ednostaen-apartament-grad-sofiya-zapaden-park,ida1a175679670588228,94900.0,30.0,1,1.0,4.0,0,0,gas,brick,0.0,Западен парк
https://www.imot.bg/obiava-1a176294023130098-prodava-ednostaen-apartament-grad-sofiya-zona-b-5,ida1a176294023130098,166100.0,46.0,1,3.0,9.0,0,0,gas,brick,1.0,Зона Б-5
https://www.imot.bg/obiava-1a176371397533629-prodava-ednostaen-apartament-grad-sofiya-zona-b-5-3,ida1a176371397533629,149200.0,46.0,1,2.0,10.0,0,0,other,brick,1.0,Зона Б-5-3
https://www.imot.bg/obiava-1a176156807662466-prodava-ednostaen-apartament-grad-sofiya-krasna-polyana-1-ul-prof-vaygand,ida1a176156807662466,102000.0,47.0,1,3.0,7.0,0,0,other,panel,0.0,Красна поляна 1
https://www.imot.bg/obiava-1a175983359541383-prodava-ednostaen-apartament-grad-sofiya-krasna-polyana-1,ida1a175983359541383,110000.0,46.0,1,2.0,8.0,0,0,other,panel,0.0,Красна поляна 1
https://www.imot.bg/obiava-1a174362130088389-prodava-ednostaen-apartament-grad-sofiya-krasno-selo,ida1a174362130088389,87275.0,35.0,1,3.0,9.0,0,0,other,brick,1.0,Красно село
https://www.imot.bg/obiava-1a174729600117130-prodava-ednostaen-apartament-grad-sofiya-krastova-vada-bul-cherni-vrah,ida1a174729600117130,169260.0,56.0,1,3.0,14.0,0,0,gas,brick,1.0,Кръстова вада
https://www.imot.bg/obiava-1a176397774866506-prodava-ednostaen-apartament-grad-sofiya-levski-v,ida1a176397774866506,98000.0,46.0,1,3.0,4.0,0,0,gas,brick,1.0,Левски В
https://www.imot.bg/obiava-1a175474359620988-prodava-ednostaen-apartament-grad-sofiya-levski-g-bul-vladimir-vazov,ida1a175474359620988,77000.0,44.0,1,3.0,9.0,0,0,other,brick,1.0,Левски Г
https://www.imot.bg/obiava-1a176037200370086-prodava-ednostaen-apartament-grad-sofiya-letishte-sofiya-ul-prodan-tarakchiev,ida1a176037200370086,49000.0,43.0,1,3.0,3.0,0,1,gas,brick,0.0,Летище София
https://www.imot.bg/obiava-1a176253160656148-prodava-ednostaen-apartament-grad-sofiya-lyulin-tsentar,ida1a176253160656148,77000.0,30.0,1,2.0,6.0,0,0,gas,brick,1.0,Люлин - център
https://www.imot.bg/obiava-1a176226090700209-prodava-ednostaen-apartament-grad-sofiya-lyulin-1,ida1a176226090700209,66600.0,26.0,1,7.0,7.0,0,1,other,panel,0.0,Люлин 1
https://www.imot.bg/obiava-1a176347834897442-prodava-ednostaen-apartament-grad-sofiya-lyulin-1-ul-gen-vasil-kutinchev,ida1a176347834897442,110000.0,47.0,1,7.0,8.0,0,0,other,panel,0.0,Люлин 1
https://www.imot.bg/obiava-1a176399455153777-prodava-ednostaen-apartament-grad-sofiya-lyulin-10-ul-mayski-den,ida1a176399455153777,72687.0,42.0,1,2.0,7.0,0,0,gas,brick,1.0,Люлин 10
https://www.imot.bg/obiava-1a176399329935108-prodava-ednostaen-apartament-grad-sofiya-lyulin-10-ul-mayski-den,ida1a176399329935108,72687.0,42.0,1,1.0,7.0,0,0,gas,brick,1.0,Люлин 10
https://www.imot.bg/obiava-1a176399247290618-prodava-ednostaen-apartament-grad-sofiya-lyulin-10-ul-mayski-den,ida1a176399247290618,88640.0,54.0,1,7.0,7.0,0,1,gas,brick,1.0,Люлин 10
https://www.imot.bg/obiava-1a175395643397981-prodava-ednostaen-apartament-grad-sofiya-lyulin-10,ida1a175395643397981,120000.0,38.0,1,11.0,14.0,0,0,gas,epk,0.0,Люлин 10
https://www.imot.bg/obiava-1a176008492651852-prodava-ednostaen-apartament-grad-sofiya-lyulin-10,ida1a176008492651852,145000.0,45.0,1,2.0,8.0,0,0,other,panel,0.0,Люлин 10
https://www.imot.bg/obiava-1a176000016561359-prodava-ednostaen-apartament-grad-sofiya-lyulin-5,ida1a176000016561359,94990.0,40.0,1,8.0,14.0,0,0,other,epk,0.0,Люлин 5
https://www.imot.bg/obiava-1a176226437856715-prodava-ednostaen-apartament-grad-sofiya-lyulin-6,ida1a176226437856715,79000.0,48.0,1,,,0,0,gas,brick,1.0,Люлин 6
https://www.imot.bg/obiava-1a176393934882325-prodava-ednostaen-apartament-grad-sofiya-lyulin-7-ul-iv-i-st-paraskevovi,ida1a176393934882325,138000.0,42.0,1,6.0,8.0,0,0,other,panel,0.0,Люлин 7
https://www.imot.bg/obiava-1a176337027713541-prodava-ednostaen-apartament-grad-sofiya-lyulin-8-ul-filipovsko-shose,ida1a176337027713541,117500.0,57.0,1,6.0,6.0,0,1,gas,brick,1.0,Люлин 8
https://www.imot.bg/obiava-1a176354745968590-prodava-ednostaen-apartament-grad-sofiya-lyulin-8,ida1a176354745968590,118000.0,47.0,1,7.0,8.0,0,0,other,panel,0.0,Люлин 8
https://www.imot.bg/obiava-1a176406676627572-prodava-ednostaen-apartament-grad-sofiya-lyulin-9-ul-gen-asen-nikolov,ida1a176406676627572,110000.0,45.0,1,6.0,6.0,0,1,other,panel,0.0,Люлин 9
https://www.imot.bg/obiava-1a173080080873241-prodava-ednostaen-apartament-grad-sofiya-m-t-gardova-glava,ida1a173080080873241,133594.0,58.0,1,2.0,5.0,0,0,gas,brick,1.0,м-т Гърдова глава
https://www.imot.bg/obiava-1a174214785194501-prodava-ednostaen-apartament-grad-sofiya-m-t-gardova-glava-ul-preki-pat,ida1a174214785194501,142979.0,58.0,1,3.0,5.0,0,0,gas,brick,1.0,м-т Гърдова глава
https://www.imot.bg/obiava-1a174075759619681-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina,ida1a174075759619681,67000.0,30.0,1,2.0,4.0,0,0,gas,brick,1.0,Малинова долина
https://www.imot.bg/obiava-1a174480135219188-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina,ida1a174480135219188,68000.0,31.0,1,2.0,4.0,0,0,gas,brick,1.0,Малинова долина
https://www.imot.bg/obiava-1a176198934801287-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina,ida1a176198934801287,74900.0,25.0,1,2.0,4.0,0,0,gas,brick,1.0,Малинова долина
https://www.imot.bg/obiava-1a174075651334235-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina,ida1a174075651334235,75000.0,37.0,1,2.0,4.0,0,0,gas,brick,1.0,Малинова долина
